Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded and ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

500/1000: r = 0.71, accuracy = 84.76%
501/1000: r = 0.70, accuracy = 84.76%
502/1000: r = 0.64, accuracy = 84.76%
503/1000: r = 0.67, accuracy = 83.81%
504/1000: r = 0.69, accuracy = 85.71%
505/1000: r = 0.66, accuracy = 85.71%
506/1000: r = 0.71, accuracy = 85.71%
507/1000: r = 0.74, accuracy = 84.76%
508/1000: r = 0.72, accuracy = 84.76%
509/1000: r = 0.69, accuracy = 84.76%
510/1000: r = 0.64, accuracy = 84.76%
511/1000: r = 0.75, accuracy = 84.76%
512/1000: r = 0.61, accuracy = 83.81%
513/1000: r = 0.67, accuracy = 83.81%
514/1000: r = 0.73, accuracy = 83.81%
515/1000: r = 0.64, accuracy = 83.81%
516/1000: r = 0.73, accuracy = 83.81%
517/1000: r = 0.65, accuracy = 83.81%
518/1000: r = 0.67, accuracy = 83.81%
519/1000: r = 0.74, accuracy = 86.67%
520/1000: r = 0.77, accuracy = 87.62%
521/1000: r = 0.72, accuracy = 87.62%
522/1000: r = 0.74, accuracy = 87.62%
523/1000: r = 0.74, accuracy = 87.62%
524/1000: r = 0.74, accuracy = 85.71%
525/1000: r = 0.69, accuracy = 85.71%
526/1000: r = 0.69, accuracy = 86.67%
527/1000: r = 0.71, accuracy = 86.67%
528/1000: r = 0.71, accuracy = 86.67%
529/1000: r = 0.77, accuracy = 87.62%
530/1000: r = 0.75, accuracy = 86.67%
531/1000: r = 0.79, accuracy = 86.67%
532/1000: r = 0.72, accuracy = 86.67%
533/1000: r = 0.73, accuracy = 87.62%
534/1000: r = 0.75, accuracy = 86.67%
535/1000: r = 0.69, accuracy = 85.71%
536/1000: r = 0.70, accuracy = 85.71%
537/1000: r = 0.68, accuracy = 87.62%
538/1000: r = 0.69, accuracy = 87.62%
